##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	79	120	1.52				1	525	1	12	96	485	Automatic	515			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
	37.00	4.4886	0.74	0.7452	0.7466	0.74	0.746	0.7412	0.744	0.7438	0.7462	0.7474	0.7432		
		3689.802	3409.322	3778.041	3079.057	2818.387	2788.283	2845.285	3284.842	3649.555	3456.887	3660.852	3742.566		
		4.647	0.9384	0.9034	0.905	0.8992	0.9708	0.8892	0.8928	0.9706	0.9702	0.9066	0.8956		
		3258.316	3534.046	3779.596	3200.226	2976.407	3041.05	3035.12	3317.117	3742.542	4216.035	3861.54	3908.886		
		4.8678	1.0896	1.0642	1.0668	1.0486	1.1244	1.0396	1.053	1.1322	1.1246	1.0558	1.124		
		3072.804	2964.705	3185.992	3297.192	3233.23	3143.52	3139.243	3238.689	3563.091	3922.108	3456.297	3526.595		
		5.0174	1.2488	1.294	1.2754	1.2088	1.2758	1.1998	1.2028	1.2826	1.275	1.2062	1.274		
		2799.103	2804.097	3051.21	3526.586	3022.667	3370.567	3640.774	3437.494	3935.16	3954.362	3964.135	3760.058		
		5.1776	1.3988	1.454	1.4354	1.3686	1.435	1.4106	1.3942	1.4428	1.435	1.3666	1.424		
		2952.296	3074.258	3182.559	3010.428	3050.035	3274.949	3639.958	3479.48	3502.922	3814.306	4090.733	3472.089		
		5.3376	1.5492	1.6138	1.5854	1.519	1.5848	1.5702	1.5532	1.6034	1.5858	1.5162	1.5856		
		3011.247	3750.312	3270.186	3145.264	3412.195	3246.52	3703.343	3529.681	3901.754	3870.829	4025.912	3489.117		
		5.488	1.7094	1.7642	1.7368	1.7192	1.7352	1.73	1.7034	1.7532	1.735	1.707	1.7344		
		2875.213	2892.88	3558.818	3179.634	3267.093	3395.404	3405.817	3638.217	3946.094	4314.65	4460.17	4082.313		
		5.6482	1.9326	1.9262	1.896	1.8692	1.8954	1.8802	1.8538	1.9132	1.895	1.8666	1.8848		
		2838.757	3296.458	3021.093	3091.786	3357.013	3454.472	3806.993	3432.522	3995.67	4477.328	4440.166	3880.389		
		
