,PlateRead,Concentration,Compound,Time,Fluorescence
0,1,Control,Compound A,0.7385999999999999,3689.802
1,1,Control,Compound A,0.74,3409.322
2,1,Control,Compound A,0.7452,3778.041
3,1,Control,Compound A,0.7466,3079.057
4,1,Control,Compound B,0.74,2818.387
5,1,Control,Compound B,0.746,2788.283
6,1,Control,Compound B,0.7412,2845.285
7,1,Control,Compound B,0.744,3284.842
8,1,Control,Compound C,0.7438,3649.555
9,1,Control,Compound C,0.7462,3456.887
10,1,Control,Compound C,0.7474,3660.852
11,1,Control,Compound C,0.7432,3742.566
12,1,10^-12,Compound A,0.8970000000000002,3258.316
13,1,10^-12,Compound A,0.9384,3534.046
14,1,10^-12,Compound A,0.9034,3779.596
15,1,10^-12,Compound A,0.905,3200.226
16,1,10^-12,Compound B,0.8992,2976.407
17,1,10^-12,Compound B,0.9708,3041.05
18,1,10^-12,Compound B,0.8892,3035.12
19,1,10^-12,Compound B,0.8928,3317.117
20,1,10^-12,Compound C,0.9706,3742.542
21,1,10^-12,Compound C,0.9702,4216.035
22,1,10^-12,Compound C,0.9066,3861.54
23,1,10^-12,Compound C,0.8956,3908.886
24,1,10^-11,Compound A,1.1178,3072.804
25,1,10^-11,Compound A,1.0896,2964.705
26,1,10^-11,Compound A,1.0642,3185.992
27,1,10^-11,Compound A,1.0668,3297.192
28,1,10^-11,Compound B,1.0486,3233.23
29,1,10^-11,Compound B,1.1244,3143.52
30,1,10^-11,Compound B,1.0396,3139.243
31,1,10^-11,Compound B,1.053,3238.689
32,1,10^-11,Compound C,1.1322,3563.091
33,1,10^-11,Compound C,1.1246,3922.108
34,1,10^-11,Compound C,1.0558,3456.297
35,1,10^-11,Compound C,1.124,3526.595
36,1,10^-10,Compound A,1.2674000000000003,2799.103
37,1,10^-10,Compound A,1.2488,2804.097
38,1,10^-10,Compound A,1.294,3051.21
39,1,10^-10,Compound A,1.2754,3526.586
40,1,10^-10,Compound B,1.2088,3022.667
41,1,10^-10,Compound B,1.2758,3370.567
42,1,10^-10,Compound B,1.1998,3640.774
43,1,10^-10,Compound B,1.2028,3437.494
44,1,10^-10,Compound C,1.2826,3935.16
45,1,10^-10,Compound C,1.275,3954.362
46,1,10^-10,Compound C,1.2062,3964.135
47,1,10^-10,Compound C,1.274,3760.058
48,1,10^-09,Compound A,1.4276,2952.296
49,1,10^-09,Compound A,1.3988,3074.258
50,1,10^-09,Compound A,1.454,3182.559
51,1,10^-09,Compound A,1.4354,3010.428
52,1,10^-09,Compound B,1.3686,3050.035
53,1,10^-09,Compound B,1.435,3274.949
54,1,10^-09,Compound B,1.4106,3639.958
55,1,10^-09,Compound B,1.3942,3479.48
56,1,10^-09,Compound C,1.4428,3502.922
57,1,10^-09,Compound C,1.435,3814.306
58,1,10^-09,Compound C,1.3666,4090.733
59,1,10^-09,Compound C,1.424,3472.089
60,1,10^-08,Compound A,1.5876000000000001,3011.247
61,1,10^-08,Compound A,1.5492,3750.312
62,1,10^-08,Compound A,1.6138,3270.186
63,1,10^-08,Compound A,1.5854,3145.264
64,1,10^-08,Compound B,1.519,3412.195
65,1,10^-08,Compound B,1.5848,3246.52
66,1,10^-08,Compound B,1.5702,3703.343
67,1,10^-08,Compound B,1.5532,3529.681
68,1,10^-08,Compound C,1.6034,3901.754
69,1,10^-08,Compound C,1.5858,3870.829
70,1,10^-08,Compound C,1.5162,4025.912
71,1,10^-08,Compound C,1.5856,3489.117
72,1,10^-07,Compound A,1.7380000000000004,2875.213
73,1,10^-07,Compound A,1.7094,2892.88
74,1,10^-07,Compound A,1.7642,3558.818
75,1,10^-07,Compound A,1.7368,3179.634
76,1,10^-07,Compound B,1.7192,3267.093
77,1,10^-07,Compound B,1.7352,3395.404
78,1,10^-07,Compound B,1.73,3405.817
79,1,10^-07,Compound B,1.7034,3638.217
80,1,10^-07,Compound C,1.7532,3946.094
81,1,10^-07,Compound C,1.735,4314.65
82,1,10^-07,Compound C,1.707,4460.17
83,1,10^-07,Compound C,1.7344,4082.313
84,1,10^-06,Compound A,1.8982,2838.757
85,1,10^-06,Compound A,1.9326,3296.458
86,1,10^-06,Compound A,1.9262,3021.093
87,1,10^-06,Compound A,1.896,3091.786
88,1,10^-06,Compound B,1.8692,3357.013
89,1,10^-06,Compound B,1.8954,3454.472
90,1,10^-06,Compound B,1.8802,3806.993
91,1,10^-06,Compound B,1.8538,3432.522
92,1,10^-06,Compound C,1.9132,3995.67
93,1,10^-06,Compound C,1.895,4477.328
94,1,10^-06,Compound C,1.8666,4440.166
95,1,10^-06,Compound C,1.8848,3880.389
96,2,Control,Compound A,2.2084,3723.98
97,2,Control,Compound A,2.2196,3418.264
98,2,Control,Compound A,2.2838,3802.317
99,2,Control,Compound A,2.261,3102.217
100,2,Control,Compound B,2.1496,2855.756
101,2,Control,Compound B,2.1756,2844.064
102,2,Control,Compound B,2.1798,2874.355
103,2,Control,Compound B,2.1524,3339.749
104,2,Control,Compound C,2.1932,3699.31
105,2,Control,Compound C,2.1758,3398.191
106,2,Control,Compound C,2.1474,3620.015
107,2,Control,Compound C,2.2148,3790.237
108,2,10^-12,Compound A,2.3686,3241.012
109,2,10^-12,Compound A,2.3698,3535.569
110,2,10^-12,Compound A,2.4448,3719.214
111,2,10^-12,Compound A,2.4172,3238.776
112,2,10^-12,Compound B,2.3096,2963.025
113,2,10^-12,Compound B,2.3358,3034.103
114,2,10^-12,Compound B,2.4128,2935.79
115,2,10^-12,Compound B,2.3906,3334.125
116,2,10^-12,Compound C,2.3446,3676.184
117,2,10^-12,Compound C,2.355,4171.725
118,2,10^-12,Compound C,2.3082,3859.802
119,2,10^-12,Compound C,2.3652,3920.875
120,2,10^-11,Compound A,2.5284000000000004,3035.227
121,2,10^-11,Compound A,2.521,2947.609
122,2,10^-11,Compound A,2.5958,3160.169
123,2,10^-11,Compound A,2.5884,3270.282
124,2,10^-11,Compound B,2.46,3243.692
125,2,10^-11,Compound B,2.4958,3158.714
126,2,10^-11,Compound B,2.5712,3151.292
127,2,10^-11,Compound B,2.5542,3281.374
128,2,10^-11,Compound C,2.5052,3563.52
