,Plate Read,Concentration,Compound,Avg Fluorescence,Standard Deviation,Avg Time
0,1,10^-06,Compound A,3062.0235000000002,189.18119801660578,1.91325
1,1,10^-06,Compound B,3512.75,200.55407706817496,1.87465
2,1,10^-06,Compound C,4198.38825,304.6758257606264,1.8899000000000001
3,1,10^-07,Compound A,3126.63625,320.1278190518847,1.7371
4,1,10^-07,Compound B,3426.6327499999998,154.52007092150052,1.72195
5,1,10^-07,Compound C,4200.80675,230.32508534876894,1.7324
6,1,10^-08,Compound A,3294.2522499999995,321.90016574748034,1.584
7,1,10^-08,Compound B,3472.9347500000003,192.57990099760528,1.5568
8,1,10^-08,Compound C,3821.9030000000002,231.75858815729538,1.57275
9,1,10^-09,Compound A,3054.8852500000003,98.61861077697436,1.42895
10,1,10^-09,Compound B,3361.1055,255.5771491278724,1.4021
11,1,10^-09,Compound C,3720.0125,291.5014581467297,1.4171
12,1,10^-10,Compound A,3045.249,341.7908627167586,1.2714
13,1,10^-10,Compound B,3367.8755,257.22654054937556,1.2218
14,1,10^-10,Compound C,3903.42875,96.33533260914874,1.25945
15,1,10^-11,Compound A,3130.17325,143.38987447603301,1.0846
16,1,10^-11,Compound B,3188.6705,54.67798090942366,1.0664
17,1,10^-11,Compound C,3617.02275,208.16306757663824,1.10915
18,1,10^-12,Compound A,3443.046,267.47811611419894,0.9109500000000001
19,1,10^-12,Compound B,3092.4235000000003,152.61053352569442,0.913
20,1,10^-12,Compound C,3932.2507499999997,201.71665943657692,0.93575
21,1,Control,Compound A,3489.0555000000004,315.3135886156241,0.7425999999999999
22,1,Control,Compound B,2934.19925,234.9185044824024,0.7427999999999999
23,1,Control,Compound C,3627.465,121.03409182815216,0.74515
24,2,10^-06,Compound A,3088.97325,173.1855362270436,3.3815
25,2,10^-06,Compound B,3495.499,186.49050532579213,3.3236
26,2,10^-06,Compound C,4192.2745,335.96035332211994,3.32885
27,2,10^-07,Compound A,3114.3754999999996,316.5292152092765,3.2089
28,2,10^-07,Compound B,3432.1575000000003,141.0922209915498,3.1689
29,2,10^-07,Compound C,4196.787,249.42430839568507,3.1689999999999996
